"","Genus","Species","Antibiotic","Equiv","Result","Phenotype","Data"
"6725","Escherichia","coli","AMP","=","2","S","SAMN11031756"
"6726","Escherichia","coli","AMP","=","2","S","SAMN11031728"
"6727","Escherichia","coli","AMP","=","2","S","PNUSAE005390"
"6728","Escherichia","coli","AMP","=","4","S","SAMN13280868"
"6732","Escherichia","coli","AMP","=","2","S","SAMN11031727"
"6733","Escherichia","coli","AMP","=","2","S","SAMN11031726"
"6734","Escherichia","coli","AMP","=","2","S","SAMN11031738"
"6735","Escherichia","coli","AMP","=","2","S","SAMN11031656"
"6737","Escherichia","coli","AMP","=","4","S","SAMN11031654"
"6738","Escherichia","coli","AMP","=","2","S","SAMN11031594"
"6739","Escherichia","coli","AMP","=","2","S","SAMN11031606"
"6740","Escherichia","coli","AMP","=","4","S","SAMN13279959"
"6741","Escherichia","coli","AMP","=","2","S","SAMN13279936"
"6742","Escherichia","coli","AMP","=","2","S","SAMN11031655"
"6745","Escherichia","coli","AMP","=","2","S","PNUSAE005630"
"6746","Escherichia","coli","AMP","=","2","S","SAMN11031653"
"6748","Escherichia","coli","AMP","=","4","S","PNUSAE004858"
"6749","Escherichia","coli","AMP","=","2","S","PNUSAE006538"
"6750","Escherichia","coli","AMP","=","2","S","SAMN11031753"
"6751","Escherichia","coli","AMP","=","2","S","SAMN11031750"
"6753","Escherichia","coli","AMP","=","2","S","SAMN06475293"
"6754","Escherichia","coli","AMP","=","2","S","SAMN11031721"
"6756","Escherichia","coli","AMP","=","2","S","SAMN11031733"
"6758","Escherichia","coli","AMP","=","2","S","PNUSAE006824"
"6759","Escherichia","coli","AMP","=","2","S","PNUSAE006003"
"6760","Escherichia","coli","AMP","=","4","S","PNUSAE006964"
"6766","Escherichia","coli","AMP","=","2","S","SAMN11031735"
"6767","Escherichia","coli","AMP","=","2","S","SAMN11031734"
"6768","Escherichia","coli","AMP","=","4","S","PNUSAE006086"
"6770","Escherichia","coli","AMP","=","2","S","SAMN13279877"
"6771","Escherichia","coli","AMP","=","2","S","SAMN11031760"
"6772","Escherichia","coli","AMP","=","2","S","PNUSAE013704"
"6775","Escherichia","coli","AMP","=","4","S","SAMN11031607"
"6776","Escherichia","coli","AMP","=","2","S","SAMN11031633"
"6779","Escherichia","coli","AMP","=","2","S","PNUSAE007631"
"6780","Escherichia","coli","AMP","=","2","S","SAMN13279958"
"6783","Escherichia","coli","AMP","=","2","S","PNUSAE005155"
"6784","Escherichia","coli","AMP","=","4","S","SAMN13283346"
"6785","Escherichia","coli","AMP","=","2","S","SAMN11031642"
