"","Genus","Species","Antibiotic","Equiv","Result","Phenotype","Data"
"37000","Escherichia","coli","AZM","=","2","S","PNUSAE077514"
"37001","Escherichia","coli","AZM","=","2","S","PNUSAE079193"
"37008","Escherichia","coli","AZM","=","2","S","PNUSAE080167"
"37009","Escherichia","coli","AZM","=","4","S","PNUSAE082209"
"37029","Escherichia","coli","AZM","=","2","S","PNUSAE083360"
"37045","Escherichia","coli","AZM","=","2","S","PNUSAE084631"
"37135","Escherichia","coli","AZM","=","4","S","PNUSAE078853"
"37136","Escherichia","coli","AZM","=","2","S","PNUSAE082054"
"37150","Escherichia","coli","AZM","=","2","S","PNUSAE079464"
"37151","Escherichia","coli","AZM","=","2","S","PNUSAE083469"
"37162","Escherichia","coli","AZM","=","2","S","PNUSAE081254"
"37178","Escherichia","coli","AZM","=","2","S","PNUSAE084716"
"37266","Escherichia","coli","AZM","=","2","S","PNUSAE086815"
"37291","Escherichia","coli","AZM","=","2","S","PNUSAE090777"
"37292","Escherichia","coli","AZM","=","2","S","PNUSAE094305"
"37301","Escherichia","coli","AZM","=","2","S","PNUSAE087344"
"37322","Escherichia","coli","AZM","=","2","S","PNUSAE090080"
"37347","Escherichia","coli","AZM","=","2","S","PNUSAE091082"
"37348","Escherichia","coli","AZM","=","2","S","PNUSAE092638"
"37385","Escherichia","coli","AZM","=","4","S","PNUSAE086084"
"37419","Escherichia","coli","AZM","=","1","S","PNUSAE087416"
"37443","Escherichia","coli","AZM","=","4","S","PNUSAE088379"
"37516","Escherichia","coli","AZM","=","2","S","PNUSAE088801"
"37517","Escherichia","coli","AZM","=","2","S","PNUSAE091280"
"37568","Escherichia","coli","AZM","=","2","S","PNUSAE085059"
"37590","Escherichia","coli","AZM","=","2","S","PNUSAE091843"
"37591","Escherichia","coli","AZM","=","2","S","PNUSAE090239"
"37608","Escherichia","coli","AZM","=","2","S","PNUSAE092512"
"37637","Escherichia","coli","AZM","=","2","S","PNUSAE088281"
"37654","Escherichia","coli","AZM","=","2","S","PNUSAE084832"
"37658","Escherichia","coli","AZM","=","4","S","PNUSAE088567"
"37659","Escherichia","coli","AZM","=","2","S","PNUSAE091754"
"37684","Escherichia","coli","AZM","=","2","S","PNUSAE083118"
"37685","Escherichia","coli","AZM","=","2","S","PNUSAE086769"
"37713","Escherichia","coli","AZM","=","4","S","PNUSAE093575"
"37943","Escherichia","coli","AZM","=","4","S","PNUSAE089454"
"37961","Escherichia","coli","AZM","=","2","S","PNUSAE114908"
"37971","Escherichia","coli","AZM","=","4","S","PNUSAE093299"
"37992","Escherichia","coli","AZM","=","4","S","PNUSAE096098"
"38000","Escherichia","coli","AZM","=","2","S","PNUSAE093239"
"38010","Escherichia","coli","AZM","=","2","S","PNUSAE093534"
"38011","Escherichia","coli","AZM","=","2","S","PNUSAE094630"
"38015","Escherichia","coli","AZM","=","2","S","PNUSAE092639"
"38017","Escherichia","coli","AZM","=","2","S","PNUSAE114549"
"38018","Escherichia","coli","AZM","=","2","S","PNUSAE115770"
"38028","Escherichia","coli","AZM","=","2","S","PNUSAE093777"
"38029","Escherichia","coli","AZM","=","4","S","PNUSAE097943"
"38036","Escherichia","coli","AZM","=","2","S","PNUSAE100582"
"38042","Escherichia","coli","AZM","=","2","S","PNUSAE095554"
"38053","Escherichia","coli","AZM","=","32","R","PNUSAE093928"
"38054","Escherichia","coli","AZM","=","2","S","PNUSAE098219"
"38055","Escherichia","coli","AZM","=","4","S","PNUSAE095679"
"38062","Escherichia","coli","AZM","=","4","S","PNUSAE101945"
"38066","Escherichia","coli","AZM","=","2","S","PNUSAE099576"
"38070","Escherichia","coli","AZM","=","4","S","PNUSAE094111"
"38071","Escherichia","coli","AZM","=","4","S","PNUSAE099447"
"38072","Escherichia","coli","AZM","=","2","S","PNUSAE110512"
"38079","Escherichia","coli","AZM","=","4","S","PNUSAE096236"
"38099","Escherichia","coli","AZM","=","2","S","PNUSAE106699"
"38100","Escherichia","coli","AZM","=","2","S","PNUSAE122495"
"38107","Escherichia","coli","AZM","=","2","S","PNUSAE093340"
"38108","Escherichia","coli","AZM","=","4","S","PNUSAE097426"
"38118","Escherichia","coli","AZM","=","2","S","PNUSAE122364"
"38126","Escherichia","coli","AZM","=","2","S","PNUSAE106160"
"38127","Escherichia","coli","AZM","=","2","S","PNUSAE112088"
"38134","Escherichia","coli","AZM","=","2","S","PNUSAE093179"
"38151","Escherichia","coli","AZM","=","4","S","PNUSAE120812"
"38163","Escherichia","coli","AZM","=","2","S","PNUSAE099711"
"38174","Escherichia","coli","AZM","=","4","S","PNUSAE105187"
"38178","Escherichia","coli","AZM","=","2","S","PNUSAE093369"
"38180","Escherichia","coli","AZM","=","2","S","PNUSAE103882"
"38181","Escherichia","coli","AZM","=","2","S","PNUSAE102024"
"38187","Escherichia","coli","AZM","=","2","S","PNUSAE099069"
"38195","Escherichia","coli","AZM","=","4","S","PNUSAE106378"
"38196","Escherichia","coli","AZM","=","2","S","PNUSAE107432"
"38197","Escherichia","coli","AZM","=","2","S","PNUSAE107964"
"38201","Escherichia","coli","AZM","=","4","S","PNUSAE095384"
"38202","Escherichia","coli","AZM","=","2","S","PNUSAE096841"
"38206","Escherichia","coli","AZM","=","1","S","PNUSAE107016"
"38207","Escherichia","coli","AZM","=","2","S","PNUSAE106749"
"38214","Escherichia","coli","AZM","=","2","S","PNUSAE117414"
"38215","Escherichia","coli","AZM","=","2","S","PNUSAE096861"
"38224","Escherichia","coli","AZM","=","2","S","PNUSAE099351"
"38230","Escherichia","coli","AZM","=","2","S","PNUSAE098840"
"38238","Escherichia","coli","AZM","=","2","S","PNUSAE095508"
"38244","Escherichia","coli","AZM","=","2","S","PNUSAE105302"
"38254","Escherichia","coli","AZM","=","2","S","PNUSAE100498"
"38268","Escherichia","coli","AZM","=","2","S","PNUSAE097690"
"38269","Escherichia","coli","AZM","=","2","S","PNUSAE105522"
"38283","Escherichia","coli","AZM","=","2","S","PNUSAE113473"
"38290","Escherichia","coli","AZM","=","4","S","PNUSAE105517"
"38291","Escherichia","coli","AZM","=","2","S","PNUSAE104394"
"38305","Escherichia","coli","AZM","=","2","S","PNUSAE095044"
"38310","Escherichia","coli","AZM","=","2","S","PNUSAE107701"
"38314","Escherichia","coli","AZM","=","4","S","PNUSAE105521"
"38315","Escherichia","coli","AZM","=","2","S","PNUSAE099268"
"38322","Escherichia","coli","AZM","=","2","S","PNUSAE102051"
"38323","Escherichia","coli","AZM","=","2","S","PNUSAE106137"
"38333","Escherichia","coli","AZM","=","4","S","PNUSAE099683"
"38334","Escherichia","coli","AZM","=","2","S","PNUSAE105955"
"38338","Escherichia","coli","AZM","=","1","S","PNUSAE111083"
"38339","Escherichia","coli","AZM","=","2","S","PNUSAE112568"
"38344","Escherichia","coli","AZM","=","2","S","PNUSAE111459"
"38353","Escherichia","coli","AZM","=","2","S","PNUSAE093585"
"38354","Escherichia","coli","AZM","=","2","S","PNUSAE115636"
"38355","Escherichia","coli","AZM","=","2","S","PNUSAE099412"
"38362","Escherichia","coli","AZM","=","4","S","PNUSAE106138"
"38383","Escherichia","coli","AZM","=","2","S","PNUSAE096263"
"38385","Escherichia","coli","AZM","=","4","S","PNUSAE099862"
"38390","Escherichia","coli","AZM","=","2","S","PNUSAE108007"
"38395","Escherichia","coli","AZM","=","4","S","PNUSAE124369"
"38406","Escherichia","coli","AZM","=","2","S","PNUSAE115725"
"38407","Escherichia","coli","AZM","=","2","S","PNUSAE116649"
"38433","Escherichia","coli","AZM","=","4","S","PNUSAE098690"
"38466","Escherichia","coli","AZM","=","2","S","PNUSAE100030"
"38493","Escherichia","coli","AZM","=","2","S","PNUSAE097819"
"38604","Escherichia","coli","AZM","=","2","S","PNUSAE109317"
"38648","Escherichia","coli","AZM","=","2","S","PNUSAE109238"
"38655","Escherichia","coli","AZM","=","2","S","PNUSAE113035"
"38779","Escherichia","coli","AZM","=","2","S","PNUSAE107579"
"38784","Escherichia","coli","AZM","=","2","S","PNUSAE113180"
"38809","Escherichia","coli","AZM","=","2","S","PNUSAE109262"
"38843","Escherichia","coli","AZM","=","2","S","PNUSAE112482"
"38862","Escherichia","coli","AZM","=","2","S","PNUSAE117596"
"38880","Escherichia","coli","AZM","=","2","S","PNUSAE110973"
"38899","Escherichia","coli","AZM","=","2","S","PNUSAE114618"
"38900","Escherichia","coli","AZM","=","2","S","PNUSAE110297"
"39052","Escherichia","coli","AZM","=","1","S","PNUSAE121147"
"39059","Escherichia","coli","AZM","=","1","S","PNUSAE122304"
"39072","Escherichia","coli","AZM","=","2","S","PNUSAE119482"
"39077","Escherichia","coli","AZM","=","2","S","PNUSAE115633"
"39092","Escherichia","coli","AZM","=","2","S","PNUSAE118624"
"39103","Escherichia","coli","AZM","=","2","S","PNUSAE121042"
"39104","Escherichia","coli","AZM","=","2","S","PNUSAE108284"
"39106","Escherichia","coli","AZM","=","2","S","PNUSAE117690"
"39117","Escherichia","coli","AZM","=","2","S","PNUSAE121261"
"39152","Escherichia","coli","AZM","=","2","S","PNUSAE119243"
"39183","Escherichia","coli","AZM","=","2","S","PNUSAE117652"
"39250","Escherichia","coli","AZM","=","1","S","PNUSAE122691"
"39268","Escherichia","coli","AZM","=","2","S","PNUSAE109710"
"39290","Escherichia","coli","AZM","=","2","S","PNUSAE113519"
"39325","Escherichia","coli","AZM","=","2","S","PNUSAE118843"
"39366","Escherichia","coli","AZM","=","2","S","PNUSAE121779"
"39452","Escherichia","coli","AZM","=","2","S","PNUSAE119028"
"39457","Escherichia","coli","AZM","=","2","S","PNUSAE119660"
"39458","Escherichia","coli","AZM","=","2","S","PNUSAE120102"
"39507","Escherichia","coli","AZM","=","2","S","PNUSAE122879"
"66162","Escherichia","coli","CHL","=","8","S","SAMN13279829"
"66164","Escherichia","coli","CHL","=","8","S","SAMN13279831"
"66165","Escherichia","coli","CHL","=","8","S","SAMN13279903"
"66166","Escherichia","coli","CHL","=","4","S","SAMN13279825"
"66167","Escherichia","coli","CHL","=","16","I","PNUSAE002691"
"66168","Escherichia","coli","CHL","=","8","S","PNUSAE002788"
"66169","Escherichia","coli","CHL",">","32","R","PNUSAE002891"
"66170","Escherichia","coli","CHL","=","8","S","SAMN13279869"
"66172","Escherichia","coli","CHL","=","8","S","SAMN13279924"
"66173","Escherichia","coli","CHL","=","8","S","SAMN13279962"
"66174","Escherichia","coli","CHL","=","4","S","SAMN13279864"
"66175","Escherichia","coli","CHL","=","8","S","SAMN13279960"
"66176","Escherichia","coli","CHL","=","8","S","SAMN13279928"
"66177","Escherichia","coli","CHL",">","32","R","SAMN13283333"
"66178","Escherichia","coli","CHL",">","32","R","SAMN13283332"
"66179","Escherichia","coli","CHL","=","8","S","SAMN13242745"
"66180","Escherichia","coli","CHL",">","32","R","PNUSAE003358"
"66181","Escherichia","coli","CHL","=","8","S","SAMN13242711"
"66182","Escherichia","coli","CHL",">","32","R","SAMN13279832"
"66183","Escherichia","coli","CHL","=","8","S","SAMN13242768"
"66184","Escherichia","coli","CHL","=","8","S","SAMN13279884"
"66185","Escherichia","coli","CHL","=","8","S","SAMN13242763"
"66186","Escherichia","coli","CHL","=","8","S","SAMN13242726"
"66187","Escherichia","coli","CHL","=","8","S","SAMN13242722"
"66188","Escherichia","coli","CHL",">","32","R","PNUSAE002904"
"66189","Escherichia","coli","CHL","=","4","S","SAMN13242707"
"66190","Escherichia","coli","CHL","=","8","S","SAMN13242729"
"66192","Escherichia","coli","CHL","=","8","S","SAMN13242723"
"66193","Escherichia","coli","CHL",">","32","R","SAMN13242767"
"66194","Escherichia","coli","CHL","=","8","S","SAMN13242748"
"66195","Escherichia","coli","CHL","=","8","S","SAMN13283331"
"66196","Escherichia","coli","CHL",">","32","R","SAMN13242765"
"66197","Escherichia","coli","CHL","=","16","I","SAMN13279822"
"66198","Escherichia","coli","CHL","=","8","S","SAMN13279887"
"66199","Escherichia","coli","CHL","=","8","S","SAMN13279886"
"66200","Escherichia","coli","CHL","=","8","S","SAMN13279881"
"66201","Escherichia","coli","CHL","=","8","S","SAMN13280850"
"66202","Escherichia","coli","CHL","=","8","S","SAMN13280854"
"66203","Escherichia","coli","CHL","<=","2","S","SAMN13242766"
"66204","Escherichia","coli","CHL","=","8","S","SAMN13242725"
"66206","Escherichia","coli","CHL","=","8","S","SAMN13242727"
"66207","Escherichia","coli","CHL","=","8","S","SAMN13242721"
"66208","Escherichia","coli","CHL","=","8","S","PNUSAE004899"
"66209","Escherichia","coli","CHL","=","8","S","SAMN13242728"
"66210","Escherichia","coli","CHL","=","4","S","SAMN13242741"
"66211","Escherichia","coli","CHL","=","4","S","SAMN13242738"
"66213","Escherichia","coli","CHL","=","8","S","SAMN13279866"
"66214","Escherichia","coli","CHL",">","32","R","SAMN13279865"
"66215","Escherichia","coli","CHL","=","8","S","PNUSAE006822"
"66216","Escherichia","coli","CHL","=","8","S","SAMN13280855"
"66217","Escherichia","coli","CHL","=","8","S","SAMN13280856"
"66218","Escherichia","coli","CHL","=","8","S","SAMN13279830"
"66219","Escherichia","coli","CHL","=","16","I","SAMN13279837"
"66220","Escherichia","coli","CHL","=","8","S","SAMN13279937"
"66221","Escherichia","coli","CHL","=","8","S","SAMN13283343"
"66222","Escherichia","coli","CHL","=","8","S","PNUSAE004693"
"66223","Escherichia","coli","CHL",">","32","R","SAMN13279900"
"66224","Escherichia","coli","CHL","=","8","S","SAMN13291111"
"66225","Escherichia","coli","CHL","=","8","S","PNUSAE004615"
"66226","Escherichia","coli","CHL","=","8","S","SAMN13242705"
"66227","Escherichia","coli","CHL","=","8","S","SAMN13242704"
"66228","Escherichia","coli","CHL","=","8","S","SAMN11031658"
"66229","Escherichia","coli","CHL","=","8","S","SAMN13280851"
"66231","Escherichia","coli","CHL","=","8","S","SAMN13280860"
"66232","Escherichia","coli","CHL","=","8","S","SAMN13242730"
"66233","Escherichia","coli","CHL","=","8","S","SAMN13242724"
"66234","Escherichia","coli","CHL","=","8","S","PNUSAE005366"
"66235","Escherichia","coli","CHL","=","8","S","PNUSAE004240"
"66236","Escherichia","coli","CHL","=","8","S","PNUSAE003278"
"66237","Escherichia","coli","CHL","=","8","S","SAMN13279833"
"66238","Escherichia","coli","CHL","=","8","S","SAMN11031637"
"66240","Escherichia","coli","CHL","=","8","S","SAMN13242731"
"66241","Escherichia","coli","CHL","=","8","S","PNUSAE005432"
"66243","Escherichia","coli","CHL","=","8","S","SAMN08595247"
"66244","Escherichia","coli","CHL","=","8","S","SAMN13279961"
"66245","Escherichia","coli","CHL","=","8","S","SAMN13283335"
"66246","Escherichia","coli","CHL","=","8","S","SAMN11031719"
"66247","Escherichia","coli","CHL","=","8","S","SAMN13242719"
"66248","Escherichia","coli","CHL","=","8","S","PNUSAE005416"
"66249","Escherichia","coli","CHL","=","8","S","PNUSAE003883"
"66251","Escherichia","coli","CHL",">","32","R","SAMN13279920"
"66252","Escherichia","coli","CHL","=","8","S","SAMN13279889"
"66253","Escherichia","coli","CHL",">","32","R","SAMN13279826"
"66254","Escherichia","coli","CHL","=","8","S","SAMN11031748"
"66255","Escherichia","coli","CHL","=","8","S","SAMN13279827"
"66256","Escherichia","coli","CHL","=","8","S","SAMN11031601"
"66257","Escherichia","coli","CHL","=","8","S","SAMN11031598"
"66258","Escherichia","coli","CHL","=","8","S","SAMN11031657"
"66259","Escherichia","coli","CHL","=","8","S","SAMN11031646"
"66260","Escherichia","coli","CHL","=","8","S","SAMN11031634"
"66261","Escherichia","coli","CHL","=","4","S","SAMN13242703"
"66262","Escherichia","coli","CHL","=","8","S","PNUSAE004496"
"66263","Escherichia","coli","CHL","=","8","S","SAMN11031747"
"66264","Escherichia","coli","CHL","=","8","S","SAMN11031714"
"66265","Escherichia","coli","CHL","=","8","S","SAMN11031729"
"66266","Escherichia","coli","CHL","=","8","S","SAMN11031715"
"66267","Escherichia","coli","CHL","=","4","S","SAMN13242764"
"66268","Escherichia","coli","CHL","=","4","S","SAMN13279823"
"66269","Escherichia","coli","CHL","=","8","S","SAMN11031756"
"66270","Escherichia","coli","CHL","=","8","S","SAMN11031728"
"66271","Escherichia","coli","CHL","=","8","S","PNUSAE005390"
"66272","Escherichia","coli","CHL","=","4","S","SAMN13280868"
"66276","Escherichia","coli","CHL","=","8","S","SAMN11031727"
"66277","Escherichia","coli","CHL","=","8","S","SAMN11031726"
"66278","Escherichia","coli","CHL","=","8","S","SAMN11031738"
"66279","Escherichia","coli","CHL","=","8","S","SAMN11031656"
"66281","Escherichia","coli","CHL","=","8","S","SAMN11031654"
"66282","Escherichia","coli","CHL","=","8","S","SAMN11031594"
"66283","Escherichia","coli","CHL","=","8","S","SAMN11031606"
"66284","Escherichia","coli","CHL","=","8","S","SAMN13279959"
"66285","Escherichia","coli","CHL","=","8","S","SAMN13279936"
"66286","Escherichia","coli","CHL","=","8","S","SAMN11031655"
"66289","Escherichia","coli","CHL","=","8","S","PNUSAE005630"
"66290","Escherichia","coli","CHL",">","32","R","SAMN11031653"
"66292","Escherichia","coli","CHL","=","8","S","PNUSAE004858"
"66293","Escherichia","coli","CHL","=","8","S","PNUSAE006538"
"66294","Escherichia","coli","CHL","=","8","S","SAMN11031753"
"66295","Escherichia","coli","CHL","=","8","S","SAMN11031750"
"66297","Escherichia","coli","CHL","=","8","S","SAMN06475293"
"66298","Escherichia","coli","CHL","=","8","S","SAMN11031721"
"66300","Escherichia","coli","CHL","=","4","S","SAMN11031733"
"66302","Escherichia","coli","CHL","=","8","S","PNUSAE006824"
"66303","Escherichia","coli","CHL","=","8","S","PNUSAE006003"
"66304","Escherichia","coli","CHL",">","32","R","PNUSAE006964"
"66310","Escherichia","coli","CHL","=","16","I","SAMN11031735"
"66311","Escherichia","coli","CHL","=","8","S","SAMN11031734"
"66312","Escherichia","coli","CHL","=","8","S","PNUSAE006086"
"66314","Escherichia","coli","CHL","=","8","S","SAMN13279877"
"66315","Escherichia","coli","CHL","=","8","S","SAMN11031760"
"66316","Escherichia","coli","CHL","=","8","S","PNUSAE013704"
"66319","Escherichia","coli","CHL","=","8","S","SAMN11031607"
"66320","Escherichia","coli","CHL","=","8","S","SAMN11031633"
"66323","Escherichia","coli","CHL","=","8","S","PNUSAE007631"
"66324","Escherichia","coli","CHL","=","8","S","SAMN13279958"
"66327","Escherichia","coli","CHL","=","8","S","PNUSAE005155"
"66328","Escherichia","coli","CHL",">","32","R","SAMN13283346"
"66329","Escherichia","coli","CHL","=","8","S","SAMN11031642"
"66332","Escherichia","coli","CHL","=","16","I","PNUSAE014508"
"66334","Escherichia","coli","CHL","=","8","S","PNUSAE007184"
"66335","Escherichia","coli","CHL","=","8","S","PNUSAE005872"
"66337","Escherichia","coli","CHL","=","8","S","PNUSAE008899"
"66338","Escherichia","coli","CHL","=","8","S","PNUSAE009812"
"66340","Escherichia","coli","CHL","=","8","S","PNUSAE008414"
"66342","Escherichia","coli","CHL","=","4","S","PNUSAE007247"
"66345","Escherichia","coli","CHL","=","4","S","PNUSAE005657"
"66346","Escherichia","coli","CHL","=","16","I","PNUSAE006182"
"66347","Escherichia","coli","CHL","=","8","S","PNUSAE005498"
"66350","Escherichia","coli","CHL","=","8","S","PNUSAE008612"
"66351","Escherichia","coli","CHL","=","8","S","PNUSAE008293"
"66354","Escherichia","coli","CHL","=","8","S","PNUSAE009509"
"66363","Escherichia","coli","CHL","=","8","S","PNUSAE014533"
"66364","Escherichia","coli","CHL",">","32","R","PNUSAE014544"
"66365","Escherichia","coli","CHL",">","32","R","PNUSAE013461"
"66369","Escherichia","coli","CHL","=","8","S","PNUSAE006587"
"66372","Escherichia","coli","CHL","=","8","S","SAMN11031640"
"66373","Escherichia","coli","CHL","=","8","S","SAMN13279861"
"66384","Escherichia","coli","CHL","=","8","S","PNUSAE003931"
"66386","Escherichia","coli","CHL","=","8","S","SAMN11031749"
"66387","Escherichia","coli","CHL","=","8","S","PNUSAE006222"
"66388","Escherichia","coli","CHL","=","8","S","PNUSAE008492"
"66390","Escherichia","coli","CHL","=","8","S","PNUSAE009193"
"66391","Escherichia","coli","CHL","=","8","S","PNUSAE008231"
"66392","Escherichia","coli","CHL","=","8","S","PNUSAE008825"
"66403","Escherichia","coli","CHL","=","8","S","PNUSAE006858"
"66408","Escherichia","coli","CHL","=","8","S","PNUSAE005576"
"66409","Escherichia","coli","CHL","=","8","S","SAMN13279863"
"66410","Escherichia","coli","CHL","=","8","S","SAMN13279862"
"66419","Escherichia","coli","CHL","=","8","S","PNUSAE008896"
"66424","Escherichia","coli","CHL","=","4","S","PNUSAE009465"
"66426","Escherichia","coli","CHL","=","8","S","SAMN11031622"
"66427","Escherichia","coli","CHL","=","8","S","SAMN11031616"
"66428","Escherichia","coli","CHL","=","4","S","SAMN11031608"
"66429","Escherichia","coli","CHL","=","8","S","SAMN11031609"
"66430","Escherichia","coli","CHL","=","8","S","PNUSAE004671"
"66431","Escherichia","coli","CHL","=","4","S","PNUSAE006360"
"66432","Escherichia","coli","CHL","=","8","S","PNUSAE006361"
"66433","Escherichia","coli","CHL","<=","2","S","PNUSAE006362"
"66434","Escherichia","coli","CHL","=","8","S","PNUSAE006363"
"66435","Escherichia","coli","CHL","=","8","S","SAMN13280858"
"66436","Escherichia","coli","CHL","=","8","S","SAMN13280857"
"66437","Escherichia","coli","CHL","=","8","S","SAMN13279836"
"66442","Escherichia","coli","CHL","=","8","S","PNUSAE008776"
"66443","Escherichia","coli","CHL","=","8","S","PNUSAE009930"
"66447","Escherichia","coli","CHL","=","8","S","PNUSAE008774"
"66448","Escherichia","coli","CHL","=","8","S","PNUSAE009603"
"66449","Escherichia","coli","CHL","=","4","S","PNUSAE010414"
"66455","Escherichia","coli","CHL","=","8","S","PNUSAE011038"
"66457","Escherichia","coli","CHL","=","8","S","PNUSAE005951"
"66459","Escherichia","coli","CHL","=","8","S","PNUSAE009962"
"66462","Escherichia","coli","CHL","=","8","S","PNUSAE010251"
"66463","Escherichia","coli","CHL","=","8","S","PNUSAE011065"
"66464","Escherichia","coli","CHL",">","32","R","PNUSAE010909"
"66466","Escherichia","coli","CHL","=","8","S","PNUSAE011459"
"66467","Escherichia","coli","CHL",">","32","R","PNUSAE011741"
"66468","Escherichia","coli","CHL","=","8","S","PNUSAE010628"
"66469","Escherichia","coli","CHL","=","4","S","PNUSAE011354"
"66470","Escherichia","coli","CHL","=","8","S","PNUSAE011496"
"66472","Escherichia","coli","CHL","=","8","S","PNUSAE008135"
"66473","Escherichia","coli","CHL","=","8","S","PNUSAE009674"
"66474","Escherichia","coli","CHL","=","8","S","PNUSAE010847"
"66475","Escherichia","coli","CHL","=","8","S","PNUSAE011548"
"66476","Escherichia","coli","CHL","=","8","S","PNUSAE012050"
"66483","Escherichia","coli","CHL","=","8","S","PNUSAE007216"
"66484","Escherichia","coli","CHL","=","8","S","PNUSAE010899"
"66485","Escherichia","coli","CHL","=","8","S","PNUSAE008102"
"66486","Escherichia","coli","CHL","=","8","S","PNUSAE008716"
"66487","Escherichia","coli","CHL","=","8","S","PNUSAE009855"
"66488","Escherichia","coli","CHL",">","32","R","PNUSAE011717"
"66489","Escherichia","coli","CHL","=","8","S","PNUSAE009512"
"66490","Escherichia","coli","CHL",">","32","R","PNUSAE010535"
"66491","Escherichia","coli","CHL","=","8","S","PNUSAE011703"
"66495","Escherichia","coli","CHL","=","8","S","PNUSAE010124"
"66496","Escherichia","coli","CHL","=","8","S","PNUSAE011164"
"66497","Escherichia","coli","CHL","=","8","S","PNUSAE012158"
"66498","Escherichia","coli","CHL",">","32","R","PNUSAE012903"
"66501","Escherichia","coli","CHL","=","8","S","PNUSAE013726"
"66502","Escherichia","coli","CHL","=","8","S","PNUSAE010312"
"66504","Escherichia","coli","CHL","=","8","S","PNUSAE009384"
"66505","Escherichia","coli","CHL",">","32","R","PNUSAE012147"
"66506","Escherichia","coli","CHL","=","8","S","PNUSAE009861"
"66508","Escherichia","coli","CHL","=","8","S","PNUSAE010824"
"66510","Escherichia","coli","CHL","=","8","S","PNUSAE011663"
"66514","Escherichia","coli","CHL","=","8","S","PNUSAE011110"
"66519","Escherichia","coli","CHL","=","8","S","PNUSAE010837"
"66521","Escherichia","coli","CHL","=","8","S","PNUSAE011183"
"66524","Escherichia","coli","CHL","=","4","S","PNUSAE009996"
"66525","Escherichia","coli","CHL","=","8","S","PNUSAE011767"
"66526","Escherichia","coli","CHL","=","8","S","PNUSAE010823"
"66527","Escherichia","coli","CHL","=","8","S","PNUSAE014232"
"66528","Escherichia","coli","CHL","=","8","S","PNUSAE010649"
"66529","Escherichia","coli","CHL","=","8","S","PNUSAE012124"
"66533","Escherichia","coli","CHL","=","8","S","PNUSAE012243"
"66534","Escherichia","coli","CHL","=","8","S","PNUSAE011985"
"66535","Escherichia","coli","CHL","=","8","S","PNUSAE012266"
"66539","Escherichia","coli","CHL","=","8","S","PNUSAE011282"
"66540","Escherichia","coli","CHL","=","8","S","PNUSAE010849"
"66542","Escherichia","coli","CHL","=","8","S","PNUSAE012606"
"66548","Escherichia","coli","CHL","=","8","S","PNUSAE010691"
"66551","Escherichia","coli","CHL","=","4","S","PNUSAE011160"
"66552","Escherichia","coli","CHL",">","32","R","PNUSAE011161"
"66555","Escherichia","coli","CHL","=","8","S","PNUSAE013109"
"66566","Escherichia","coli","CHL","=","8","S","PNUSAE014269"
"66567","Escherichia","coli","CHL","=","8","S","PNUSAE013038"
"66577","Escherichia","coli","CHL",">","32","R","PNUSAE012191"
"66578","Escherichia","coli","CHL","=","8","S","PNUSAE012184"
"66598","Escherichia","coli","CHL","=","8","S","PNUSAE013621"
"66608","Escherichia","coli","CHL","=","8","S","PNUSAE013279"
"66609","Escherichia","coli","CHL","=","8","S","PNUSAE012982"
"66631","Escherichia","coli","CHL","=","8","S","SAMN07795430"
"66632","Escherichia","coli","CHL","=","8","S","PNUSAE013714"
"66647","Escherichia","coli","CHL","=","8","S","PNUSAE012090"
"66648","Escherichia","coli","CHL","=","8","S","PNUSAE007348"
"66670","Escherichia","coli","CHL","=","8","S","PNUSAE012068"
"66677","Escherichia","coli","CHL","=","8","S","PNUSAE012524"
"66691","Escherichia","coli","CHL","=","8","S","PNUSAE012285"
"66737","Escherichia","coli","CHL","=","8","S","PNUSAE012976"
"66738","Escherichia","coli","CHL","=","8","S","PNUSAE006605"
"66741","Escherichia","coli","CHL","=","8","S","PNUSAE013242"
"66758","Escherichia","coli","CHL","=","8","S","PNUSAE012706"
"66760","Escherichia","coli","CHL","=","4","S","PNUSAE007590"
"66765","Escherichia","coli","CHL",">","32","R","PNUSAE013555"
"66766","Escherichia","coli","CHL","=","4","S","PNUSAE013782"
"66780","Escherichia","coli","CHL","=","4","S","PNUSAE011972"
"66792","Escherichia","coli","CHL","=","8","S","PNUSAE014765"
"66793","Escherichia","coli","CHL",">","32","R","PNUSAE014332"
"66800","Escherichia","coli","CHL","=","4","S","PNUSAE012674"
"66807","Escherichia","coli","CHL","=","8","S","PNUSAE016682"
"66808","Escherichia","coli","CHL","=","4","S","PNUSAE015780"
"66809","Escherichia","coli","CHL","=","8","S","PNUSAE014719"
"66818","Escherichia","coli","CHL","=","8","S","PNUSAE012709"
"66819","Escherichia","coli","CHL","=","8","S","PNUSAE013112"
"66823","Escherichia","coli","CHL",">","32","R","PNUSAE014274"
"66829","Escherichia","coli","CHL","=","8","S","PNUSAE013412"
"66830","Escherichia","coli","CHL","=","4","S","PNUSAE015212"
"66834","Escherichia","coli","CHL","=","8","S","PNUSAE013471"
"66854","Escherichia","coli","CHL","=","8","S","PNUSAE015078"
"66855","Escherichia","coli","CHL","=","8","S","PNUSAE014731"
"66856","Escherichia","coli","CHL","=","8","S","PNUSAE013622"
"66861","Escherichia","coli","CHL","=","8","S","PNUSAE016138"
